generation,idx,cpu_m,mem_mib,replicas,fitness,f1,f2,f3,throughput,p95_latency_s,p99_latency_s,avg_latency_s,success_rate,total_requests,failed_requests,cpu_usage_cores,memory_usage_bytes,cpu_utilization,memory_utilization,cpu_throttling,memory_peak_usage_bytes,status,error,eval_time_s
1,11,500,256,3,0.6687841079947798,0.5088914522557859,2.25,-27.743230138674893,27.743230138674893,1.6948776245117188,2.2440569400787354,0.7799153185574113,1.0,2512,0,0.2753447842195257,67546160.76190476,0.5506895684390514,0.2516290573846726,0.7350375431834467,75898880.0,ok,,246.00126099586487
2,0,450,256,4,0.6749611866212941,0.4657099267356413,2.8,-31.933983445082596,31.933983445082596,1.595149040222168,2.145902156829834,0.6752648920888086,1.0,2904,0,0.23313289061188525,68458057.14285715,0.5180730902486339,0.2550261361258371,0.6353230517134701,79482880.0,ok,,299.770391702652
2,1,400,896,2,0.6527422793596833,0.4380879733769693,2.55,-14.466091505663849,14.466091505663849,2.877678155899048,2.996556043624878,1.4946197704429485,1.0,1335,0,0.21238044870251002,67019044.571428575,0.530951121756275,0.071332970444037,0.7931942921780457,77963264.0,ok,,221.2212414741516
2,2,100,384,1,0.40450248046495313,0.5222583777778669,0.475,-2.2844364229215577,2.2844364229215577,12.489434003829956,12.489434003829956,7.048552831013997,0.05286343612334802,227,215,0.06186235969761467,67656557.71428572,0.6186235969761467,0.1680268787202381,0.8526730869359421,77246464.0,ok,,176.8266942501068
2,3,400,256,4,0.6698832723417207,0.4986428327554279,2.6,-28.57568666345933,28.57568666345933,1.9696614742279053,2.7002036571502686,0.7522165115959686,1.0,2618,0,0.21268384801376386,68452059.42857143,0.5317096200344096,0.25500379289899555,0.7043016567217933,78647296.0,ok,,308.63854241371155
2,4,450,384,4,0.6676616610138182,0.4358956914842004,3.3,-32.43021034491973,32.43021034491973,1.6024587154388428,2.0788631439208984,0.6635496523577953,1.0,2955,0,0.23479944747272924,71371337.14285715,0.5217765499393983,0.1772526332310268,0.6730100515881924,80039936.0,ok,,290.14136242866516
2,5,500,512,4,0.6633271326496942,0.40998929681687296,4.0,-35.61216498589036,35.61216498589036,1.457758903503418,1.9165687561035156,0.604372228116285,1.0,3237,0,0.24945193713666874,67162258.28571428,0.4989038742733375,0.12509945460728236,0.6748751390439022,77901824.0,ok,,252.50790786743164
2,6,400,512,4,0.667785179274689,0.3845056516215233,3.6,-28.059416113649167,28.059416113649167,2.126678705215454,2.4764277935028076,0.7687825616536565,1.0,2556,0,0.2060529857367431,66482907.428571425,0.5151324643418578,0.12383406502859932,0.6227710688680466,78512128.0,ok,,257.06231689453125
2,7,200,256,4,0.6624886851869878,0.5253885999198755,1.8,-13.26259875972945,13.26259875972945,3.8355469703674316,5.083958148956299,1.634372452829705,1.0,1220,0,0.10361525672755133,67249883.42857143,0.5180762836377566,0.2505253383091518,0.758540871714751,78446592.0,ok,,243.8748140335083
2,8,450,384,3,0.6702340188315996,0.42631218487753,2.4749999999999996,-24.90798152170902,24.90798152170902,1.8862345218658447,2.35864520072937,0.8678693302100671,1.0,2266,0,0.24879100395208828,67554547.8095238,0.5528688976713073,0.16777353438120038,0.6564980676717266,78970880.0,ok,,244.21788787841797
